ID_Date,StateCode,StationId,Date,PM2.5,PM10,NO2,CO,O3,AQI,HIS,HRI_Normalized,HRI_Category
TN_2_2023-01-01,TN,2,01-01-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_2_2023-01-02,TN,2,02-01-23,3.616471159,4.182351624,3.428488242,0.590631617,1.9552256,29.53158085,3.17797305,0.006355946,Low
TN_2_2023-01-03,TN,2,03-01-23,4.036998631,4.525420259,3.561799429,0.607498511,1.959404992,30.37492555,3.4332351,0.00686647,Low
TN_2_2023-01-04,TN,2,04-01-23,4.13558378,4.702974547,3.521132832,0.576582153,1.955593275,28.82910765,3.502365091,0.00700473,Low
TN_2_2023-01-05,TN,2,05-01-23,3.954286422,4.348234632,3.688850607,0.510787161,1.944021921,25.53935805,3.367068501,0.006734137,Low
TN_2_2023-01-06,TN,2,06-01-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_2_2023-01-07,TN,2,07-01-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_2_2023-01-08,TN,2,08-01-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_2_2023-01-09,TN,2,09-01-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_2_2023-01-10,TN,2,10-01-23,4.116136631,4.301366259,3.804784667,0.582401822,1.924637871,29.1200911,3.433642948,0.006867286,Low
TN_2_2023-01-11,TN,2,11-01-23,4.13558378,4.718049862,3.804784667,0.58141999,1.936155384,29.0709995,3.546249795,0.0070925,Low
TN_2_2023-01-12,TN,2,12-01-23,4.07629609,4.675694986,3.804784667,0.56076592,1.920912803,28.038296,3.51055859,0.007021117,Low
TN_2_2023-01-13,TN,2,13-01-23,3.997562756,4.650579642,3.791283259,0.584540662,1.937706952,29.2270331,3.479594473,0.006959189,Low
TN_2_2023-01-14,TN,2,14-01-23,4.13558378,4.855692533,3.616852968,0.710987099,1.952389115,35.54935495,3.567862479,0.007135725,Low
TN_2_2023-01-15,TN,2,15-01-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_2_2023-01-16,TN,2,16-01-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_2_2023-01-17,TN,2,17-01-23,3.592855362,4.210669059,3.487503906,0.521463287,1.934696719,26.07316435,3.175643064,0.006351286,Low
TN_2_2023-01-18,TN,2,18-01-23,4.056050595,4.594019006,3.648015864,0.591291319,1.945562866,29.56456595,3.466288401,0.006932577,Low
TN_2_2023-01-19,TN,2,19-01-23,4.035200723,4.57874671,3.775293648,0.609520221,1.948466403,30.47601105,3.47652296,0.006953046,Low
TN_2_2023-01-20,TN,2,20-01-23,4.13558378,4.733850421,3.704063077,0.583804983,1.943675511,29.19024915,3.536458215,0.007072916,Low
TN_2_2023-01-21,TN,2,21-01-23,4.13558378,4.855692533,3.341120006,0.600483496,1.950826615,30.0241748,3.515217799,0.007030436,Low
TN_2_2023-01-22,TN,2,22-01-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_2_2023-01-23,TN,2,23-01-23,3.58203967,4.473498967,3.782223416,0.586992699,1.950618435,29.34963495,3.290714174,0.006581428,Low
TN_2_2023-01-24,TN,2,24-01-23,3.607282936,4.352772518,3.714295198,0.555733804,1.955742604,27.7866902,3.256821208,0.006513642,Low
TN_2_2023-01-25,TN,2,25-01-23,4.13558378,4.803670061,3.804784667,0.576788911,1.944629568,28.83944555,3.568462865,0.007136926,Low
TN_2_2023-01-26,TN,2,26-01-23,4.13558378,4.855692533,3.804784667,0.577627207,1.950305238,28.88136035,3.582403663,0.007164807,Low
TN_2_2023-01-27,TN,2,27-01-23,3.855511441,4.586232976,3.804784667,0.555001986,1.943123532,27.7500993,3.413673677,0.006827347,Low
TN_2_2023-01-28,TN,2,28-01-23,4.13558378,4.769072863,3.804784667,0.556456039,1.943093687,27.82280195,3.557549896,0.0071151,Low
TN_2_2023-01-29,TN,2,29-01-23,4.059891493,4.643301564,3.580656048,0.52977004,1.955609977,26.488502,3.465204321,0.006930409,Low
TN_2_2023-01-30,TN,2,30-01-23,4.009978444,4.643471187,3.437105505,0.562986723,1.965362575,28.14933615,3.431029136,0.006862058,Low
TN_2_2023-01-31,TN,2,31-01-23,3.971005944,4.687084219,3.804784667,0.623548258,1.942357929,31.1774129,3.48604935,0.006972099,Low
TN_2_2023-02-01,TN,2,01-02-23,3.93655097,4.685262252,3.721228152,0.586435444,1.958920386,29.3217722,3.459774228,0.006919548,Low
