ID_Date,StateCode,StationId,Date,PM2.5,PM10,NO2,CO,O3,AQI,HIS,HRI_Normalized,HRI_Category
TN_3_2023-01-01,TN,3,01-01-23,3.132621737,4.517590466,2.887590115,0.437761978,2.708772162,21.8880989,3.109045764,0.006218092,Low
TN_3_2023-01-02,TN,3,02-01-23,2.955886365,4.313870467,2.71779424,0.380242262,2.726067466,19.0121131,2.967631327,0.005935263,Low
TN_3_2023-01-03,TN,3,03-01-23,3.140313502,4.553109053,2.730843993,0.387126686,2.728054787,19.3563343,3.094934475,0.006189869,Low
TN_3_2023-01-04,TN,3,04-01-23,3.11320662,4.525518027,2.731567778,0.368781913,2.720486438,18.43909565,3.075688147,0.006151376,Low
TN_3_2023-01-05,TN,3,05-01-23,2.980512877,4.408876472,2.502602166,0.338825616,2.728692164,16.9412808,2.963975336,0.005927951,Low
TN_3_2023-01-06,TN,3,06-01-23,3.08582051,4.494355006,2.838143979,0.325649998,2.729718824,16.2824999,3.07137035,0.006142741,Low
TN_3_2023-01-07,TN,3,07-01-23,3.336288421,4.750802545,2.86726739,0.40507856,2.722551035,20.253928,3.234382203,0.006468764,Low
TN_3_2023-01-08,TN,3,08-01-23,3.524315952,4.855692533,2.823484803,0.46521789,2.721544392,23.2608945,3.325709885,0.00665142,Low
TN_3_2023-01-09,TN,3,09-01-23,3.292100471,4.806352114,2.906331681,0.405164137,2.709394205,20.25820685,3.23669849,0.006473397,Low
TN_3_2023-01-10,TN,3,10-01-23,3.561282797,4.855692533,3.179383964,0.406575603,2.722941094,20.32878015,3.386378431,0.006772757,Low
TN_3_2023-01-11,TN,3,11-01-23,3.441685987,4.855692533,2.990004093,0.380645752,2.716004592,19.0322876,3.312479107,0.006624958,Low
TN_3_2023-01-12,TN,3,12-01-23,3.27162639,4.715984552,3.000443381,0.358596707,2.724811717,17.92983535,3.21871331,0.006437427,Low
TN_3_2023-01-13,TN,3,13-01-23,3.178921509,4.679233514,3.004117161,0.385451348,2.695450322,19.2725674,3.175911164,0.006351822,Low
TN_3_2023-01-14,TN,3,14-01-23,3.801324192,4.855692533,3.048812166,0.422358643,2.675211303,21.11793215,3.445225985,0.006890452,Low
TN_3_2023-01-15,TN,3,15-01-23,2.862795942,4.41909158,2.819434206,0.356289453,2.705570277,17.81447265,2.971131092,0.005942262,Low
TN_3_2023-01-16,TN,3,16-01-23,2.732742814,4.209964767,2.629287538,0.327278316,2.659377738,16.3639158,2.8349788,0.005669958,Low
TN_3_2023-01-17,TN,3,17-01-23,2.80567252,4.302092428,2.635305259,0.334237599,2.667411446,16.71187995,2.886339755,0.00577268,Low
TN_3_2023-01-18,TN,3,18-01-23,3.08582051,4.605586766,2.71188543,0.35990583,2.68714099,17.9952915,3.077278416,0.006154557,Low
TN_3_2023-01-19,TN,3,19-01-23,3.079613758,4.611711247,2.883713841,0.371012638,2.692960064,18.5506319,3.104394977,0.00620879,Low
TN_3_2023-01-20,TN,3,20-01-23,3.454935601,4.855692533,2.883325385,0.38790441,2.683565379,19.3952205,3.296974649,0.006593949,Low
TN_3_2023-01-21,TN,3,21-01-23,3.225934189,4.665010187,2.720861306,0.340320929,2.650904042,17.01604645,3.135126408,0.006270253,Low
TN_3_2023-01-22,TN,3,22-01-23,3.196118838,4.622416444,2.597351388,0.324320327,2.645694481,16.21601635,3.093134617,0.006186269,Low
TN_3_2023-01-23,TN,3,23-01-23,2.934152335,4.3800716,2.64351168,0.316886847,2.675285455,15.84434235,2.951479472,0.005902959,Low
TN_3_2023-01-24,TN,3,24-01-23,2.813410717,4.225464195,2.595461982,0.359345288,2.659351005,17.9672644,2.865216277,0.005730433,Low
TN_3_2023-01-25,TN,3,25-01-23,3.331336077,4.792513833,2.894010961,0.349188658,2.682822607,17.4594329,3.235539986,0.00647108,Low
TN_3_2023-01-26,TN,3,26-01-23,3.686358919,4.855692533,2.965863527,0.363026259,2.677041969,18.15131295,3.386887205,0.006773774,Low
TN_3_2023-01-27,TN,3,27-01-23,2.97662732,4.552120965,2.932581678,0.337884929,2.694699907,16.89424645,3.057730534,0.006115461,Low
TN_3_2023-01-28,TN,3,28-01-23,3.512788447,4.855692533,2.991522034,0.358572448,2.664465907,17.9286224,3.327654526,0.006655309,Low
TN_3_2023-01-29,TN,3,29-01-23,3.20122089,4.709905507,2.661254574,0.340012589,2.652089599,17.00062945,3.128906573,0.006257813,Low
TN_3_2023-01-30,TN,3,30-01-23,2.943341887,4.358443433,2.789971485,0.331923215,2.646027033,16.59616075,2.968372618,0.005936745,Low
TN_3_2023-01-31,TN,3,31-01-23,3.324861145,4.770861162,3.096755271,0.403119364,2.644054742,20.1559682,3.25785013,0.0065157,Low
TN_3_2023-02-01,TN,3,01-02-23,3.203198012,4.628540787,3.058234217,0.359493884,2.68298165,17.9746942,3.175386269,0.006350773,Low
TN_3_2023-02-02,TN,3,02-02-23,3.086901661,4.572365212,3.157801827,0.570959076,2.612501829,28.5479538,3.14614834,0.006292297,Low
TN_3_2023-02-03,TN,3,03-02-23,3.12423209,4.531417629,2.632025086,0.361192502,2.650827614,18.0596251,3.054882794,0.006109766,Low
TN_3_2023-02-04,TN,3,04-02-23,3.341093458,4.781309478,3.078159956,0.34410671,2.678549869,17.2053355,3.262627225,0.006525254,Low
TN_3_2023-02-05,TN,3,05-02-23,3.137906763,4.572776118,2.836150204,0.330901191,2.684923722,16.54505955,3.102712605,0.006205425,Low
TN_3_2023-02-06,TN,3,06-02-23,3.125480477,4.568030639,2.845151603,0.348331204,2.71427615,17.4165602,3.10467311,0.006209346,Low
TN_3_2023-02-07,TN,3,07-02-23,3.193842876,4.554205785,2.881322448,0.363002107,2.722530502,18.15010535,3.133274606,0.006266549,Low
TN_3_2023-02-08,TN,3,08-02-23,3.142714464,4.539519936,2.972868717,0.38367857,2.706792466,19.1839285,3.125147081,0.006250294,Low
TN_3_2023-02-09,TN,3,09-02-23,3.097649367,4.514173606,2.891567031,0.392675333,2.720731032,19.63376665,3.093832923,0.006187666,Low
TN_3_2023-02-10,TN,3,10-02-23,3.098589659,4.598271444,2.971144256,0.3604629,2.724413278,18.023145,3.124454162,0.006248908,Low
TN_3_2023-02-11,TN,3,11-02-23,3.449987546,4.855692533,3.162819745,0.403518771,2.711232632,20.17593855,3.342878508,0.006685757,Low
TN_3_2023-02-12,TN,3,12-02-23,3.484120552,4.855692533,3.188373661,0.397983486,2.74622202,19.8991743,3.363353027,0.006726706,Low
TN_3_2023-02-13,TN,3,13-02-23,3.447006918,4.855692533,3.073416433,0.4253812,2.73823583,21.26906,3.334661514,0.006669323,Low
TN_3_2023-02-14,TN,3,14-02-23,3.258897499,4.723416077,2.916775492,0.354999931,2.734570411,17.74999655,3.204670022,0.00640934,Low
TN_3_2023-02-15,TN,3,15-02-23,3.350634814,4.793031923,3.037603717,0.402497747,2.429061711,20.12488735,3.231229755,0.00646246,Low
TN_3_2023-02-16,TN,3,16-02-23,3.42079574,4.855692533,2.968239738,0.33798399,1.682365625,16.8991995,3.142590846,0.006285182,Low
TN_3_2023-02-17,TN,3,17-02-23,3.361291249,4.855692533,3.05114727,0.35641102,1.670363143,17.820551,3.134242734,0.006268485,Low
TN_3_2023-02-18,TN,3,18-02-23,2.926504412,4.674696249,2.901060048,0.403268252,1.555887687,20.1634126,2.901819592,0.005803639,Low
TN_3_2023-02-19,TN,3,19-02-23,2.29631548,3.967536549,2.476742628,0.355559739,1.443580082,17.77798695,2.419198936,0.004838398,Low
TN_3_2023-02-20,TN,3,20-02-23,2.47735506,4.24461869,2.865212215,0.358111412,1.429978921,17.9055706,2.608318755,0.005216638,Low
TN_3_2023-02-21,TN,3,21-02-23,2.802728868,4.542296944,2.963535446,0.345592015,1.453263195,17.27960075,2.813608337,0.005627217,Low
TN_3_2023-02-22,TN,3,22-02-23,2.968182322,4.411471656,3.019823786,0.446449408,1.400852727,22.3224704,2.849478144,0.005698956,Low
TN_3_2023-02-23,TN,3,23-02-23,3.018050797,4.582200047,2.967757806,0.363107112,1.421148584,18.1553556,2.89651446,0.005793029,Low
TN_3_2023-02-24,TN,3,24-02-23,2.751978477,4.346102565,2.859379444,0.413120913,1.457548563,20.65604565,2.738569401,0.005477139,Low
TN_3_2023-02-25,TN,3,25-02-23,2.915892092,4.560652133,3.003790001,0.348306695,1.410673578,17.41533475,2.857725472,0.005715451,Low
TN_3_2023-02-26,TN,3,26-02-23,2.995136858,4.632993781,2.951228742,0.464397668,1.432244849,23.2198834,2.910507151,0.005821014,Low
TN_3_2023-02-27,TN,3,27-02-23,2.709900341,4.744207228,2.628736394,0.517677099,1.436942916,25.88385495,2.796136533,0.005592273,Low
TN_3_2023-02-28,TN,3,28-02-23,3.056356895,4.52810914,2.684937937,0.426469809,1.413912906,21.32349045,2.859226806,0.005718454,Low
TN_3_2023-03-01,TN,3,01-03-23,2.828299329,4.366675024,2.582555213,0.351267992,1.459761007,17.5633996,2.723047753,0.005446096,Low
TN_3_2023-03-02,TN,3,02-03-23,3.152854724,4.687901584,2.890352468,0.498584337,1.437231689,24.92921685,2.974470607,0.005948941,Low
TN_3_2023-03-03,TN,3,03-03-23,3.309630188,4.853656545,2.900562709,0.594036385,1.452743491,29.70181925,3.084184271,0.006168369,Low
TN_3_2023-03-04,TN,3,04-03-23,3.338509,4.855692533,3.060710151,0.578620556,1.46838625,28.9310278,3.119627799,0.006239256,Low
TN_3_2023-03-05,TN,3,05-03-23,3.080571153,4.505234743,2.703758598,0.535560653,1.455574228,26.77803265,2.881964579,0.005763929,Low
TN_3_2023-03-06,TN,3,06-03-23,3.095294763,4.577284982,2.765139168,0.559905601,1.440854882,27.99528005,2.91456408,0.005829128,Low
TN_3_2023-03-07,TN,3,07-03-23,2.957871746,4.456887671,2.726740191,0.574758493,1.462909728,28.73792465,2.835400366,0.005670801,Low
TN_3_2023-03-08,TN,3,08-03-23,2.774323328,4.329499026,2.676874815,0.523968049,1.458243507,26.19840245,2.726052474,0.005452105,Low
TN_3_2023-03-09,TN,3,09-03-23,2.962907728,4.529121229,2.750093671,0.560270335,1.462596106,28.01351675,2.857228512,0.005714457,Low
TN_3_2023-03-10,TN,3,10-03-23,3.078175943,4.578034487,2.762402469,0.540364199,1.478664617,27.01820995,2.912066685,0.005824133,Low
TN_3_2023-03-11,TN,3,11-03-23,3.005063601,4.60839415,2.809172582,0.551607618,1.453295667,27.5803809,2.898401797,0.005796804,Low
TN_3_2023-03-12,TN,3,12-03-23,3.01123646,4.606315363,2.730481904,0.569821469,1.438666067,28.49107345,2.887865944,0.005775732,Low
TN_3_2023-03-13,TN,3,13-03-23,2.757721811,4.38781343,2.674394925,0.850201803,1.411286967,42.51009015,2.760028455,0.005520057,Low
TN_3_2023-03-14,TN,3,14-03-23,3.0959232,4.610468624,2.812743828,0.557907981,1.476104913,27.89539905,2.935308385,0.005870617,Low
TN_3_2023-03-15,TN,3,15-03-23,3.10654664,4.65950053,2.807183031,0.569507182,1.445079056,28.4753591,2.946956488,0.005893913,Low
TN_3_2023-03-16,TN,3,16-03-23,2.479684706,3.97323569,2.524088411,0.566122352,1.446559441,28.3061176,2.513407983,0.005026816,Low
TN_3_2023-03-17,TN,3,17-03-23,2.432943053,3.750973584,2.637245173,0.612121641,1.434886093,30.60608205,2.461305319,0.004922611,Low
TN_3_2023-03-18,TN,3,18-03-23,2.402933067,3.766033378,2.521553273,0.540323745,1.459567411,27.01618725,2.433735395,0.004867471,Low
TN_3_2023-03-19,TN,3,19-03-23,2.158281603,3.590439381,2.763914053,0.568249049,1.46545527,28.41245245,2.34423871,0.004688477,Low
TN_3_2023-03-20,TN,3,20-03-23,1.928681845,3.036206382,2.682758293,0.564797147,1.437505677,28.23985735,2.108609551,0.004217219,Low
TN_3_2023-03-21,TN,3,21-03-23,2.353687397,3.591013929,2.783080367,0.596238502,1.429480226,29.8119251,2.41305201,0.004826104,Low
TN_3_2023-03-22,TN,3,22-03-23,2.128975477,3.555645636,2.748649949,0.506577483,1.419176586,25.32887415,2.309884555,0.004619769,Low
TN_3_2023-03-23,TN,3,23-03-23,2.252387689,3.489856706,2.716647398,0.574211137,1.461413107,28.71055685,2.344930057,0.00468986,Low
TN_3_2023-03-24,TN,3,24-03-23,2.401990412,3.824329578,2.68197237,0.595358237,1.467314155,29.76791185,2.478707841,0.004957416,Low
TN_3_2023-03-25,TN,3,25-03-23,1.988159696,3.474163829,2.490533152,0.538542115,1.431232871,26.92710575,2.206515966,0.004413032,Low
TN_3_2023-03-26,TN,3,26-03-23,2.054390792,3.298149006,2.39896793,0.524913423,1.46602452,26.24567115,2.175814239,0.004351628,Low
TN_3_2023-03-27,TN,3,27-03-23,2.417276936,3.702073282,2.534881078,0.534094459,1.431622853,26.70472295,2.419950284,0.004839901,Low
TN_3_2023-03-28,TN,3,28-03-23,2.424679808,3.786081782,2.521664843,0.563220394,1.443891529,28.1610197,2.446313874,0.004892628,Low
TN_3_2023-03-29,TN,3,29-03-23,2.527671201,3.857654813,2.523921457,0.58169174,1.429904133,29.084587,2.500341636,0.005000683,Low
TN_3_2023-03-30,TN,3,30-03-23,2.278335091,3.643053642,2.589042458,0.545287435,1.44842928,27.26437175,2.368330197,0.00473666,Low
TN_3_2023-03-31,TN,3,31-03-23,2.308815643,3.399343813,2.557227311,0.548281961,1.444191956,27.41409805,2.312962514,0.004625925,Low
TN_3_2023-04-01,TN,3,01-04-23,1.826502418,3.64414356,2.31808928,0.744645315,2.516998338,37.23226575,2.35003941,0.004700079,Low
TN_3_2023-04-02,TN,3,02-04-23,2.1960665,4.591535995,2.294426905,0.547398604,2.649373478,27.3699302,2.712817192,0.005425634,Low
TN_3_2023-04-03,TN,3,03-04-23,2.417586486,4.676521385,2.527338459,0.632563791,2.659832096,31.62818955,2.856617579,0.005713235,Low
TN_3_2023-04-04,TN,3,04-04-23,2.240266329,4.505695095,2.48756515,0.54802105,2.653327544,27.4010525,2.736452998,0.005472906,Low
TN_3_2023-04-05,TN,3,05-04-23,2.204528089,4.281429064,2.493262843,0.50394786,2.644479113,25.197393,2.662998177,0.005325996,Low
TN_3_2023-04-06,TN,3,06-04-23,2.165735572,3.893519534,2.499669821,0.514962887,2.649800506,25.74814435,2.555304171,0.005110608,Low
TN_3_2023-04-07,TN,3,07-04-23,2.152246582,3.674351353,2.395556682,0.556336608,2.638804321,27.8168304,2.482661953,0.004965324,Low
TN_3_2023-04-08,TN,3,08-04-23,2.317063112,3.54367303,2.298932597,0.533331329,2.647144579,26.66656645,2.492135056,0.00498427,Low
TN_3_2023-04-09,TN,3,09-04-23,2.282594948,3.80295191,2.267065854,0.562686465,2.636797835,28.13432325,2.541494409,0.005082989,Low
TN_3_2023-04-10,TN,3,10-04-23,2.595721016,4.120898585,2.37196215,0.561261259,2.635317707,28.06306295,2.745945106,0.00549189,Low
TN_3_2023-04-11,TN,3,11-04-23,2.977865272,4.430196567,2.825936112,0.563556426,2.647442217,28.1778213,3.027164379,0.006054329,Low
TN_3_2023-04-12,TN,3,12-04-23,3.073046904,4.652371787,3.057924294,0.556336608,2.641737267,27.8168304,3.149242258,0.006298485,Low
TN_3_2023-04-13,TN,3,13-04-23,3.227587765,4.764219562,3.056422253,0.555360716,2.653334879,27.7680358,3.23271025,0.00646542,Low
TN_3_2023-04-14,TN,3,14-04-23,3.063845128,4.503852413,2.928894815,0.581905205,2.636412466,29.09526025,3.091295511,0.006182591,Low
TN_3_2023-04-15,TN,3,15-04-23,2.863985003,4.461107341,2.866753992,0.580701439,2.643232629,29.03507195,3.002239723,0.006004479,Low
TN_3_2023-04-16,TN,3,16-04-23,3.037054143,4.493656519,2.934558456,0.563398307,2.650970216,28.16991535,3.080552211,0.006161104,Low
