ID_Date,StateCode,StationId,Date,PM2.5,PM10,NO2,CO,O3,AQI,HIS,HRI_Normalized,HRI_Category
TN_5_2023-01-01,TN,5,01-01-23,3.727486498,4.2704198,2.93592842,0.192827518,1.82649632,9.6413759,3.105871687,0.006211743,Low
TN_5_2023-01-02,TN,5,02-01-23,3.381400865,3.939346301,2.767785539,0.192598429,1.82796527,9.62992145,2.876949342,0.005753899,Low
TN_5_2023-01-03,TN,5,03-01-23,3.376388703,4.004685744,2.587761311,0.192254699,1.824482085,9.61273495,2.863969461,0.005727939,Low
TN_5_2023-01-04,TN,5,04-01-23,3.80095177,4.250647686,2.320088898,0.204045676,1.831681059,10.2022838,3.036165102,0.00607233,Low
TN_5_2023-01-05,TN,5,05-01-23,3.618825752,4.176241737,2.394318809,0.245585489,1.825962505,12.27927445,2.968250193,0.0059365,Low
TN_5_2023-01-06,TN,5,06-01-23,3.444745657,3.848588319,1.826990865,0.373835877,1.836031063,18.69179385,2.754644937,0.00550929,Low
TN_5_2023-01-07,TN,5,07-01-23,3.377708385,3.793467015,2.113483461,0.191308828,1.837884047,9.5654414,2.742400697,0.005484801,Low
TN_5_2023-01-08,TN,5,08-01-23,3.707486514,4.205405984,2.327396262,0.196343163,1.845612852,9.81715815,2.994557459,0.005989115,Low
TN_5_2023-01-09,TN,5,09-01-23,3.664301223,4.367997698,2.711915407,0.197170258,1.839590179,9.8585129,3.076947716,0.006153895,Low
TN_5_2023-01-10,TN,5,10-01-23,2.690444742,3.73895847,2.772786185,0.276499993,1.820941762,13.82499965,2.593104469,0.005186209,Low
TN_5_2023-01-11,TN,5,11-01-23,3.134080173,3.888329945,3.072740662,0.470350791,1.842234721,23.51753955,2.853291933,0.005706584,Low
TN_5_2023-01-12,TN,5,12-01-23,3.593053652,4.310842894,3.0827124,0.579535122,1.839672927,28.9767561,3.131590813,0.006263182,Low
TN_5_2023-01-13,TN,5,13-01-23,3.423203462,4.348815846,3.359844768,0.68167538,1.837718248,34.083769,3.133127164,0.006266254,Low
TN_5_2023-01-14,TN,5,14-01-23,3.551068082,4.479343559,3.115796656,0.763673598,1.830713053,38.1836799,3.181053535,0.006362107,Low
TN_5_2023-01-15,TN,5,15-01-23,3.45589927,4.317838052,3.109254392,0.815472354,1.837281512,40.7736177,3.112551879,0.006225104,Low
TN_5_2023-01-16,TN,5,16-01-23,3.458553924,4.478622919,3.128600947,0.822089936,1.843640091,41.1044968,3.158194752,0.00631639,Low
TN_5_2023-01-17,TN,5,17-01-23,3.691464651,4.302179871,2.723371123,0.199249231,1.776598829,9.96246155,3.062478012,0.006124956,Low
TN_5_2023-01-18,TN,5,18-01-23,3.40235412,4.21679117,3.017536799,0.200488861,1.763488587,10.02444305,2.982224429,0.005964449,Low
TN_5_2023-01-19,TN,5,19-01-23,3.386133094,4.244512619,3.220886303,0.384766246,1.835244581,19.2383123,3.043170995,0.006086342,Low
TN_5_2023-01-20,TN,5,20-01-23,3.639984597,4.317495058,3.057287835,0.301184256,1.833481059,15.0592128,3.117102133,0.006234204,Low
TN_5_2023-01-21,TN,5,21-01-23,4.034668275,4.646345118,2.902399824,0.2000455,1.794429513,10.002275,3.298249126,0.006596498,Low
TN_5_2023-01-22,TN,5,22-01-23,3.664271864,4.337624291,2.556054143,0.197398302,1.811028639,9.8699151,3.041703473,0.006083407,Low
TN_5_2023-01-23,TN,5,23-01-23,3.310690923,3.753743739,1.223269789,0.19791121,1.826144122,9.8955605,2.574380965,0.005148762,Low
TN_5_2023-01-24,TN,5,24-01-23,3.128571331,3.482352592,1.169498989,0.198253002,1.831753343,9.9126501,2.435601264,0.004871203,Low
TN_5_2023-01-25,TN,5,25-01-23,3.578473017,4.182826476,2.412734125,0.199619006,1.846451495,9.9809503,2.957011919,0.005914024,Low
TN_5_2023-01-26,TN,5,26-01-23,3.480339043,4.089639064,2.39871312,0.267479365,1.83767403,13.37396825,2.90273444,0.005805469,Low
TN_5_2023-01-27,TN,5,27-01-23,3.579305529,4.32510449,2.956997352,0.299852035,1.832999558,14.99260175,3.082517798,0.006165036,Low
TN_5_2023-01-28,TN,5,28-01-23,3.482582137,4.409776054,3.047484317,0.436438767,1.842020113,21.82193835,3.098417303,0.006196835,Low
