ID_Date,StateCode,StationId,Date,PM2.5,PM10,NO2,CO,O3,AQI,HIS,HRI_Normalized,HRI_Category
TN_6_2023-01-01,TN,6,01-01-23,3.979097371,4.855692533,2.532676673,0.88242202,1.306341349,44.121101,3.270702118,0.006541404,Low
TN_6_2023-01-02,TN,6,02-01-23,3.529114083,4.465548859,2.05046677,0.448684227,1.399933562,22.43421135,2.914005616,0.005828011,Low
TN_6_2023-01-03,TN,6,03-01-23,3.785136156,4.751162678,2.222406381,0.345790162,1.672405907,17.2895081,3.131389184,0.006262778,Low
TN_6_2023-01-04,TN,6,04-01-23,3.751136729,4.825309228,2.117217234,0.387042481,2.011800992,19.35212405,3.177282144,0.006354564,Low
TN_6_2023-01-05,TN,6,05-01-23,3.791266804,4.810913223,1.769404978,0.37861803,2.711894654,18.9309015,3.239728435,0.006479457,Low
TN_6_2023-01-06,TN,6,06-01-23,3.750483988,4.824640332,1.770646957,0.320295468,2.429092308,16.0147734,3.180819915,0.00636164,Low
TN_6_2023-01-07,TN,6,07-01-23,4.122587775,4.855692533,2.097804885,0.374791101,2.330257678,18.73955505,3.358517349,0.006717035,Low
TN_6_2023-01-08,TN,6,08-01-23,4.13558378,4.855692533,2.230574279,0.483796951,2.271893184,24.18984755,3.385127271,0.006770255,Low
TN_6_2023-01-09,TN,6,09-01-23,3.976801882,4.855692533,2.30829791,0.35838182,2.274360643,17.919091,3.329040757,0.006658082,Low
TN_6_2023-01-10,TN,6,10-01-23,3.541238271,4.855692533,2.517248343,0.449481994,1.902304439,22.4740997,3.161237645,0.006322475,Low
TN_6_2023-01-11,TN,6,11-01-23,3.750860622,4.855692533,2.750160255,0.439150587,1.911623671,21.95752935,3.269906999,0.006539814,Low
TN_6_2023-01-12,TN,6,12-01-23,3.863576532,4.820869431,2.668240425,0.644482009,1.996569314,32.22410045,3.321638806,0.006643278,Low
TN_6_2023-01-13,TN,6,13-01-23,3.73369347,4.715518243,2.710731788,0.803949385,3.316692488,40.19746925,3.470180855,0.006940362,Low
TN_6_2023-01-14,TN,6,14-01-23,4.13558378,4.855692533,2.698804694,0.568848398,3.316692488,28.4424199,3.620586873,0.007241174,Low
TN_6_2023-01-15,TN,6,15-01-23,3.551926064,4.497270217,2.59089197,0.69836903,1.639292154,34.9184515,3.071856198,0.006143712,Low
TN_6_2023-01-16,TN,6,16-01-23,3.42622869,4.306876453,2.317302645,0.686195993,1.835106052,34.30979965,2.967380059,0.00593476,Low
TN_6_2023-01-17,TN,6,17-01-23,3.417726684,4.198454296,2.325887851,0.62063758,1.771757517,31.031879,2.922528477,0.005845057,Low
TN_6_2023-01-18,TN,6,18-01-23,3.900709246,4.741997771,2.45387454,0.347611265,1.909835672,17.38056325,3.240065337,0.006480131,Low
TN_6_2023-01-19,TN,6,19-01-23,3.807386865,4.855692533,2.467177957,0.412330377,2.097582161,20.61651885,3.272455591,0.006544911,Low
TN_6_2023-01-20,TN,6,20-01-23,4.13558378,4.855692533,2.640445255,0.531669375,1.966437109,26.58346875,3.405576748,0.006811153,Low
TN_6_2023-01-21,TN,6,21-01-23,3.91887448,4.771831566,2.06962792,0.704145505,2.541290265,35.20727525,3.326616238,0.006653232,Low
TN_6_2023-01-22,TN,6,22-01-23,4.13558378,4.855692533,2.059274265,0.409092779,2.88147816,20.45463895,3.443399598,0.006886799,Low
TN_6_2023-01-23,TN,6,23-01-23,3.277930588,4.484229998,2.052609054,0.37992431,2.634052266,18.9962155,3.009324834,0.00601865,Low
TN_6_2023-01-24,TN,6,24-01-23,3.053411385,4.484296441,2.089159791,0.284604425,2.577516955,14.23022125,2.918230049,0.00583646,Low
TN_6_2023-01-25,TN,6,25-01-23,4.020690547,4.855692533,2.595954089,0.371970562,2.470072043,18.5985281,3.418265801,0.006836532,Low
TN_6_2023-01-26,TN,6,26-01-23,4.13558378,4.855692533,2.672015149,0.454343452,2.446787645,22.7171726,3.474632221,0.006949264,Low
TN_6_2023-01-27,TN,6,27-01-23,3.571877363,4.685981829,2.504249613,0.372162037,2.618328083,18.60810185,3.227255392,0.006454511,Low
TN_6_2023-01-28,TN,6,28-01-23,4.13558378,4.855692533,2.621796113,0.420376526,2.15926788,21.0188263,3.420574708,0.006841149,Low
TN_6_2023-01-29,TN,6,29-01-23,4.13558378,4.855692533,2.323000278,0.399335248,2.340158483,19.9667624,3.400784795,0.00680157,Low
TN_6_2023-01-30,TN,6,30-01-23,3.735931998,4.596276588,2.141168497,0.424836452,2.680452969,21.2418226,3.222372211,0.006444744,Low
TN_6_2023-01-31,TN,6,31-01-23,3.965958639,4.80068557,2.192486274,0.435450824,2.567970963,21.7725412,3.345870584,0.006691741,Low
TN_6_2023-02-01,TN,6,01-02-23,3.768922162,4.712902886,2.327684127,0.405465108,2.371890878,20.2732554,3.24283124,0.006485662,Low
TN_6_2023-02-02,TN,6,02-02-23,3.82455698,4.61305568,2.239748826,0.392417393,2.859011276,19.62086965,3.295914618,0.006591829,Low
TN_6_2023-02-03,TN,6,03-02-23,3.710773439,4.623542052,2.027462705,0.339147227,2.685996292,16.95736135,3.195589789,0.00639118,Low
TN_6_2023-02-04,TN,6,04-02-23,3.803648694,4.810404317,2.073783202,0.32982819,2.809885761,16.4914095,3.299411286,0.006598823,Low
TN_6_2023-02-05,TN,6,05-02-23,3.902393456,4.855692533,2.62690542,0.357480175,2.291717223,17.87400875,3.353302257,0.006706605,Low
TN_6_2023-02-06,TN,6,06-02-23,3.827961818,4.83661254,2.761832294,0.374719491,2.000893304,18.73597455,3.30082056,0.006601641,Low
TN_6_2023-02-07,TN,6,07-02-23,3.770123363,4.711592638,2.879334996,0.371276159,2.145224405,18.56380795,3.288252863,0.006576506,Low
TN_6_2023-02-08,TN,6,08-02-23,3.772042289,4.855692533,2.648142915,0.376913206,1.59236946,18.8456603,3.207906111,0.006415812,Low
