ID_Date,StateCode,StationId,Date,PM2.5,PM10,NO2,CO,O3,AQI,HIS,HRI_Normalized,HRI_Category
TN_7_2023-01-01,TN,7,01-01-23,2.687845132,3.736433736,1.188912041,0.246480232,2.691304286,12.3240116,2.481534702,0.004963069,Low
TN_7_2023-01-02,TN,7,02-01-23,3.088752903,3.888332078,1.539157009,0.157626774,2.681401974,7.8813387,2.70199306,0.005403986,Low
TN_7_2023-01-03,TN,7,03-01-23,3.27654421,4.084388919,1.799369329,0.217321078,2.686559344,10.8660539,2.862509112,0.005725018,Low
TN_7_2023-01-04,TN,7,04-01-23,3.430214978,4.367629217,1.828272192,0.221531141,2.682957914,11.07655705,2.991320177,0.00598264,Low
TN_7_2023-01-05,TN,7,05-01-23,3.234449752,4.102743222,1.762600008,0.229732905,2.691297224,11.48664525,2.848801094,0.005697602,Low
TN_7_2023-01-06,TN,7,06-01-23,3.230400823,4.25493281,1.694098148,0.155221535,2.689520791,7.76107675,2.867438485,0.005734877,Low
TN_7_2023-01-07,TN,7,07-01-23,3.27472304,4.160588984,1.805752543,0.157864015,2.694526293,7.89320075,2.877128537,0.005754257,Low
TN_7_2023-01-08,TN,7,08-01-23,4.135117667,4.549243366,1.773868902,0.163924192,2.694345609,8.1962096,3.271226621,0.006542453,Low
TN_7_2023-01-09,TN,7,09-01-23,3.872744235,4.350786767,2.062316576,0.190333358,2.695762047,9.5166679,3.175902303,0.006351805,Low
TN_7_2023-01-10,TN,7,10-01-23,3.41088411,4.131053108,1.878796888,0.150961075,2.692906012,7.54805375,2.927424258,0.005854849,Low
TN_7_2023-01-11,TN,7,11-01-23,3.510934763,4.272106647,1.966728639,0.148838979,2.687207172,7.44194895,3.009828098,0.006019656,Low
TN_7_2023-01-12,TN,7,12-01-23,2.692585831,4.245090643,1.959444142,0.152065173,2.677173285,7.60325865,2.714376833,0.005428754,Low
TN_7_2023-01-13,TN,7,13-01-23,2.573947217,3.996907817,1.82930945,0.121049301,2.680179279,6.05246505,2.58863672,0.005177273,Low
TN_7_2023-01-14,TN,7,14-01-23,2.407415923,3.598756423,1.71132992,0.168482017,2.685454232,8.42410085,2.418650503,0.004837301,Low
TN_7_2023-01-15,TN,7,15-01-23,2.15917651,3.397370027,1.461252047,0.151617713,2.679798369,7.58088565,2.241373619,0.004482747,Low
TN_7_2023-01-16,TN,7,16-01-23,2.251479751,3.576696476,1.546653408,0.132610831,2.678738197,6.63054155,2.329261856,0.004658524,Low
TN_7_2023-01-17,TN,7,17-01-23,2.067319758,3.599914466,1.386277,0.171148256,2.683852374,8.5574128,2.251174764,0.00450235,Low
TN_7_2023-01-18,TN,7,18-01-23,3.006198148,3.981111706,1.654982073,0.133674611,2.683707701,6.68373055,2.711618206,0.005423236,Low
TN_7_2023-01-19,TN,7,19-01-23,3.183913366,4.128088231,1.732834791,0.093382818,2.680676625,5.306522277,2.81775673,0.005635513,Low
TN_7_2023-01-20,TN,7,20-01-23,3.571807103,4.295209841,1.77847134,0.123353909,2.687044072,6.16769545,3.006097649,0.006012195,Low
TN_7_2023-01-21,TN,7,21-01-23,3.837295183,4.38445987,1.849837278,0.114660883,2.685267165,6.395491972,3.130900036,0.0062618,Low
TN_7_2023-01-22,TN,7,22-01-23,3.27336401,4.339586578,1.859407301,0.104766589,2.678428272,5.455606683,2.921726043,0.005843452,Low
TN_7_2023-01-23,TN,7,23-01-23,1.45256478,4.070769063,1.771993647,0.14066733,2.688577103,7.0333665,2.209242284,0.004418485,Low
TN_7_2023-01-24,TN,7,24-01-23,2.61580698,3.438398917,1.651519114,0.12519378,2.692250108,6.259689,2.439216934,0.004878434,Low
TN_7_2023-01-25,TN,7,25-01-23,3.409840478,4.052992552,1.756911589,0.36772478,2.678709592,18.386239,2.90880796,0.005817616,Low
TN_7_2023-01-26,TN,7,26-01-23,4.13558378,4.482632796,1.839336376,0.109974853,2.690666175,6.892639633,3.25861039,0.006517221,Low
TN_7_2023-01-27,TN,7,27-01-23,3.839286528,4.282581267,1.892609829,0.211239647,2.687580546,10.56198235,3.122548122,0.006245096,Low
TN_7_2023-01-28,TN,7,28-01-23,3.328626689,3.962395251,1.845058852,0.230257079,2.681568373,11.51285395,2.857637946,0.005715276,Low
TN_7_2023-01-29,TN,7,29-01-23,3.975832746,3.905900831,1.779057613,0.156855352,2.682846347,7.8427676,3.052987798,0.006105976,Low
TN_7_2023-01-30,TN,7,30-01-23,3.557548021,4.040152333,1.822413276,0.268594814,2.680022171,13.4297407,2.957404689,0.005914809,Low
TN_7_2023-01-31,TN,7,31-01-23,3.390308451,4.127550965,1.838370232,0.282015003,2.679453043,14.10075015,2.924370691,0.005848741,Low
TN_7_2023-02-01,TN,7,01-02-23,3.124952075,4.075819868,1.931903786,0.180091062,2.679579279,9.0045531,2.822419759,0.00564484,Low
TN_7_2023-02-02,TN,7,02-02-23,2.138707775,2.761121312,1.506528095,0.144040217,2.681993754,7.20201085,2.081510348,0.004163021,Low
TN_7_2023-02-03,TN,7,03-02-23,2.717104327,3.563354614,1.608868306,0.221225046,2.691172459,11.0612523,2.508953787,0.005017908,Low
TN_7_2023-02-04,TN,7,04-02-23,2.323149957,3.736686993,1.719928994,0.29538669,2.692760293,14.7693345,2.438716295,0.004877433,Low
TN_7_2023-02-05,TN,7,05-02-23,2.50690254,3.933841573,1.736584381,0.91027266,2.680976341,45.513633,2.614537657,0.005229075,Low
TN_7_2023-02-06,TN,7,06-02-23,1.592219087,3.958007651,1.795421736,0.537589261,2.6798698,26.87946305,2.27183125,0.004543662,Low
TN_7_2023-02-07,TN,7,07-02-23,3.390430654,3.896602637,1.696029641,0.119170961,2.685546568,5.95854805,2.829954916,0.00565991,Low
TN_7_2023-02-08,TN,7,08-02-23,1.609437912,3.50202372,1.648217823,0.111497893,2.694413663,5.57489465,2.101353711,0.004202707,Low
TN_7_2023-02-09,TN,7,09-02-23,2.304998844,3.524243293,1.607573857,0.116702205,2.685354783,5.83511025,2.343419935,0.00468684,Low
TN_7_2023-02-10,TN,7,10-02-23,2.408236871,3.725218917,1.531453848,0.124458238,2.678285197,6.2229119,2.418094315,0.004836189,Low
TN_7_2023-02-11,TN,7,11-02-23,3.516691792,4.474692855,1.849755367,0.149287684,2.685508687,7.4643842,3.044733717,0.006089467,Low
TN_7_2023-02-12,TN,7,12-02-23,3.82244153,4.60164114,1.813442964,0.163511492,2.681630172,8.1755746,3.17887694,0.006357754,Low
TN_7_2023-02-13,TN,7,13-02-23,3.563640961,4.456879214,1.829437638,0.149945421,2.68945712,7.49727105,3.054322896,0.006108646,Low
TN_7_2023-02-14,TN,7,14-02-23,2.980956988,4.226079203,1.523177242,0.171499318,2.68774592,8.5749659,2.748643153,0.005497286,Low
TN_7_2023-02-15,TN,7,15-02-23,3.410064205,4.39372487,1.599609468,0.209692377,2.683584357,10.48461885,2.955402001,0.005910804,Low
TN_7_2023-02-16,TN,7,16-02-23,3.561237431,4.444533063,1.093733256,0.200471812,2.685991559,10.0235906,2.94457227,0.005889145,Low
TN_7_2023-02-17,TN,7,17-02-23,3.473347486,4.338611763,0.88171654,0.223310204,2.691260032,11.1655102,2.858602067,0.005717204,Low
TN_7_2023-02-18,TN,7,18-02-23,2.741819693,4.168613236,1.121552272,0.243398565,2.679532011,12.16992825,2.596292701,0.005192585,Low
TN_7_2023-02-19,TN,7,19-02-23,2.629285034,3.849132015,0.481310987,0.211042855,2.683553518,10.55214275,2.378366727,0.004756733,Low
TN_7_2023-02-20,TN,7,20-02-23,2.489565918,3.821888575,1.472932405,0.179365804,2.680831252,8.9682902,2.467821344,0.004935643,Low
TN_7_2023-02-21,TN,7,21-02-23,2.344935918,3.959308069,1.007197291,0.188552107,2.678385352,9.42760535,2.382247196,0.004764494,Low
TN_7_2023-02-22,TN,7,22-02-23,2.949891921,4.465234895,1.082746347,0.215083378,2.680514837,10.7541689,2.734768411,0.005469537,Low
TN_7_2023-02-23,TN,7,23-02-23,3.044626599,4.221662245,0.791123356,0.0983359,2.680531492,5.074377665,2.651616688,0.005303233,Low
TN_7_2023-02-24,TN,7,24-02-23,2.45977579,3.972628019,0.70702954,0.081707987,2.687438775,4.099626317,2.371419577,0.004742839,Low
TN_7_2023-02-25,TN,7,25-02-23,2.289044557,3.559684402,0.767941095,0.094647081,2.686873853,4.73235405,2.218773646,0.004437547,Low
TN_7_2023-02-26,TN,7,26-02-23,2.70124935,3.777638868,0.862242029,0.102450034,2.684347896,5.1225017,2.432080482,0.004864161,Low
TN_7_2023-02-27,TN,7,27-02-23,3.206748417,3.993543467,1.056139627,0.12828327,2.686495484,6.4141635,2.694971406,0.005389943,Low
TN_7_2023-02-28,TN,7,28-02-23,3.157527764,3.705200401,1.008925159,0.154626757,2.695619087,7.73133785,2.60257913,0.005205158,Low
TN_7_2023-03-01,TN,7,01-03-23,3.361461073,3.835759721,1.104014338,0.247049947,2.682095913,12.35249735,2.728072838,0.005456146,Low
TN_7_2023-03-02,TN,7,02-03-23,3.463730856,4.083200521,1.174432045,0.204951294,2.676387521,10.2475647,2.831223994,0.005662448,Low
TN_7_2023-03-03,TN,7,03-03-23,3.4591201,4.095057271,1.145433642,0.23874346,2.680355401,11.937173,2.832199055,0.005664398,Low
TN_7_2023-03-04,TN,7,04-03-23,3.445008527,4.111777471,1.159593353,0.176605017,2.681860693,8.83025085,2.827575961,0.005655152,Low
TN_7_2023-03-05,TN,7,05-03-23,3.347930894,3.741815773,1.025388007,0.113591256,2.693948146,5.6795628,2.676489305,0.005352979,Low
TN_7_2023-03-06,TN,7,06-03-23,3.363776714,4.299135007,1.092149652,0.13376574,2.696617036,6.688287,2.833797179,0.005667594,Low
TN_7_2023-03-07,TN,7,07-03-23,3.384202331,3.799547058,0.984076815,0.182234747,2.688102563,9.11173735,2.703407962,0.005406816,Low
TN_7_2023-03-08,TN,7,08-03-23,3.467778706,4.104336801,1.368206409,0.18376727,2.690213834,9.1883635,2.866946511,0.005733893,Low
TN_7_2023-03-09,TN,7,09-03-23,3.396205002,4.23542551,1.065821231,0.250337099,2.695024061,12.51685495,2.836688632,0.005673377,Low
TN_7_2023-03-10,TN,7,10-03-23,3.375948422,4.200556278,0.95539697,0.220863176,2.681684836,11.0431588,2.799369606,0.005598739,Low
TN_7_2023-03-11,TN,7,11-03-23,3.397055715,4.080671651,0.812823847,0.236690268,2.69287546,11.8345134,2.758661336,0.005517323,Low
TN_7_2023-03-12,TN,7,12-03-23,3.337083462,3.863164506,0.703315892,0.23369876,2.692640411,11.684938,2.66653366,0.005333067,Low
TN_7_2023-03-13,TN,7,13-03-23,3.59886564,4.211640386,1.067519855,0.197027704,2.697066489,9.8513852,2.896903792,0.005793808,Low
TN_7_2023-03-14,TN,7,14-03-23,3.57294042,4.136714247,1.34836595,0.22389327,2.696816038,11.1946635,2.913874334,0.005827749,Low
TN_7_2023-03-15,TN,7,15-03-23,3.552802165,4.155461438,0.98941727,0.234028539,2.68955852,11.70142695,2.85759534,0.005715191,Low
TN_7_2023-03-16,TN,7,16-03-23,2.670071864,3.777636485,1.01523068,0.22230987,2.681632548,11.1154935,2.455694745,0.004911389,Low
TN_7_2023-03-17,TN,7,17-03-23,2.48855939,3.973443389,0.254355069,0.256820078,2.69364838,12.8410039,2.332239159,0.004664478,Low
TN_7_2023-03-18,TN,7,18-03-23,2.243790888,3.673375965,0.840920425,0.192483865,2.68578329,9.62419325,2.251924746,0.004503849,Low
TN_7_2023-03-19,TN,7,19-03-23,1.956326489,2.789493637,3.804784667,0.163452521,2.683961457,8.17262605,2.371744851,0.00474349,Low
TN_7_2023-03-20,TN,7,20-03-23,2.106740695,2.740388309,0.353001538,0.191394853,2.683698213,9.56974265,1.897100768,0.003794202,Low
TN_7_2023-03-21,TN,7,21-03-23,2.399045405,3.110914982,0.5363959,0.218549682,2.665920446,10.9274841,2.119597057,0.004239194,Low
