ID_Date,StateCode,StationId,Date,PM2.5,PM10,NO2,CO,O3,AQI,HIS,HRI_Normalized,HRI_Category
TN_8_2023-01-01,TN,8,01-01-23,3.809436417,4.312335975,3.311986618,0.598874656,2.366719887,29.9437328,3.323080181,0.00664616,Low
TN_8_2023-01-02,TN,8,02-01-23,3.222203615,3.736787395,3.268018661,0.327236598,2.235019774,16.3618299,2.920147539,0.005840295,Low
TN_8_2023-01-03,TN,8,03-01-23,3.702843994,4.437367715,2.970396659,0.502604422,2.337251514,25.1302211,3.251744995,0.00650349,Low
TN_8_2023-01-04,TN,8,04-01-23,3.844814256,4.322060975,2.986558377,0.422335882,2.33853189,21.1167941,3.267197362,0.006534395,Low
TN_8_2023-01-05,TN,8,05-01-23,3.691739942,4.185384273,2.871483064,0.362905494,2.354716231,18.1452747,3.158675492,0.006317351,Low
TN_8_2023-01-06,TN,8,06-01-23,3.62794554,4.33114444,2.142962292,0.370389496,2.389399691,18.5194748,3.069460296,0.006138921,Low
TN_8_2023-01-07,TN,8,07-01-23,4.022184478,4.604649217,2.689711779,0.524379191,2.367374234,26.21895955,3.369927693,0.006739855,Low
TN_8_2023-01-08,TN,8,08-01-23,4.13558378,4.846971919,2.810991125,0.559298277,2.359965897,27.96491385,3.490770684,0.006981541,Low
TN_8_2023-01-09,TN,8,09-01-23,3.835186956,4.498535711,2.869427454,0.591546423,2.362644195,29.57732115,3.310914752,0.00662183,Low
TN_8_2023-01-10,TN,8,10-01-23,4.13558378,4.817758223,3.576193699,0.61279916,2.342676821,30.639958,3.601004373,0.007202009,Low
TN_8_2023-01-11,TN,8,11-01-23,4.130154015,4.726188722,3.503145833,0.542586692,2.358798037,27.1293346,3.560651335,0.007121303,Low
TN_8_2023-01-12,TN,8,12-01-23,3.864013786,4.52088237,3.287274075,0.51773917,2.355786808,25.8869585,3.380858467,0.006761717,Low
TN_8_2023-01-13,TN,8,13-01-23,3.707711431,4.405448114,3.373133642,0.391344719,2.322064275,19.56723595,3.292475189,0.00658495,Low
TN_8_2023-01-14,TN,8,14-01-23,4.13558378,4.855692533,3.621150664,0.71734848,2.34404022,35.867424,3.627890937,0.007255782,Low
TN_8_2023-01-15,TN,8,15-01-23,3.373740535,3.90344465,3.197751491,0.509991943,2.341411765,25.49959715,3.038544032,0.006077088,Low
TN_8_2023-01-16,TN,8,16-01-23,3.317211725,3.788441944,2.90949711,0.38790441,2.360300258,19.3952205,2.937394636,0.005874789,Low
TN_8_2023-01-17,TN,8,17-01-23,3.430958429,4.06456525,2.964252356,0.412638392,2.359870814,20.6319196,3.056859077,0.006113718,Low
TN_8_2023-01-18,TN,8,18-01-23,3.946424432,4.468538755,3.197779862,0.449969204,2.318619054,22.4984602,3.370839998,0.00674168,Low
TN_8_2023-01-19,TN,8,19-01-23,3.873152231,4.504889339,3.119469768,0.475694868,2.386351628,23.7847434,3.355268312,0.006710537,Low
TN_8_2023-01-20,TN,8,20-01-23,4.13558378,4.758516972,3.126760536,0.582506546,2.335643697,29.1253273,3.514694856,0.00702939,Low
TN_8_2023-01-21,TN,8,21-01-23,3.860948985,4.292597565,2.542257946,0.39805345,2.393120635,19.9026725,3.204593668,0.006409187,Low
TN_8_2023-01-22,TN,8,22-01-23,3.980460167,4.381375381,2.420553296,0.392886326,2.354350325,19.6443163,3.244029079,0.006488058,Low
TN_8_2023-01-23,TN,8,23-01-23,3.258897499,3.906591615,2.635106082,0.352635547,2.331064564,17.63177735,2.89745118,0.005794902,Low
TN_8_2023-01-24,TN,8,24-01-23,3.133227155,3.764344392,2.984787177,0.356313768,2.34541507,17.8156884,2.872877316,0.005745755,Low
TN_8_2023-01-25,TN,8,25-01-23,4.024048759,4.551791385,3.085344432,0.456127416,2.339188201,22.8063708,3.405657548,0.006811315,Low
TN_8_2023-01-26,TN,8,26-01-23,4.13558378,4.816662794,2.682965466,0.492704083,2.343876977,24.63520415,3.454916796,0.006909834,Low
TN_8_2023-01-27,TN,8,27-01-23,3.521754344,4.139490528,1.957195436,0.440112523,2.34926324,22.00562615,2.957466706,0.005914933,Low
TN_8_2023-01-28,TN,8,28-01-23,4.13558378,4.800085716,1.794671891,0.607214767,2.321774787,30.36073835,3.32566423,0.006651328,Low
TN_8_2023-01-29,TN,8,29-01-23,4.13558378,4.615429875,0.899483613,0.508552208,2.308063117,25.4276104,3.133299022,0.006266598,Low
TN_8_2023-01-30,TN,8,30-01-23,3.528808506,4.15806895,3.804784667,0.474464153,2.341882593,23.72320765,3.244046719,0.006488093,Low
TN_8_2023-01-31,TN,8,31-01-23,3.857874762,4.48040974,3.07628767,0.498963884,2.355934952,24.9481942,3.335088383,0.006670177,Low
TN_8_2023-02-01,TN,8,01-02-23,3.649245612,4.303036362,2.718311384,0.513799459,2.358763357,25.68997295,3.165936212,0.006331872,Low
TN_8_2023-02-02,TN,8,02-02-23,3.673584509,4.261169683,2.662259232,0.91027266,2.117233952,45.513633,3.158998243,0.006317996,Low
TN_8_2023-02-03,TN,8,03-02-23,3.60527137,4.216439277,2.981252952,0.469308944,2.351031283,23.4654472,3.162728328,0.006325457,Low
TN_8_2023-02-04,TN,8,04-02-23,3.706176904,4.394320546,3.804784667,0.91027266,2.360464119,45.513633,3.411556637,0.006823113,Low
TN_8_2023-02-05,TN,8,05-02-23,3.691220462,4.302233462,3.804784667,0.01615092,2.34540509,6.152034103,3.291629083,0.006583258,Low
TN_8_2023-02-06,TN,8,06-02-23,3.843476463,4.476270906,3.804784667,0.186443168,2.366837115,9.3221584,3.408672073,0.006817344,Low
TN_8_2023-02-07,TN,8,07-02-23,3.624063117,4.295015258,3.804784667,0.414383554,2.373234462,20.7191777,3.31031713,0.006620634,Low
TN_8_2023-02-08,TN,8,08-02-23,3.564826805,4.285452636,3.804784667,0.438456524,2.335811648,21.9228262,3.28398764,0.006567975,Low
TN_8_2023-02-09,TN,8,09-02-23,3.922798079,4.445832466,3.804784667,0.507570331,2.338474945,25.37851655,3.456683419,0.006913367,Low
TN_8_2023-02-10,TN,8,10-02-23,3.622561573,4.310295643,3.804784667,0.489440693,2.343719039,24.47203465,3.316690086,0.00663338,Low
TN_8_2023-02-11,TN,8,11-02-23,3.94218842,4.542629668,3.773503,0.471976508,2.379581499,23.5988254,3.48558369,0.006971167,Low
TN_8_2023-02-12,TN,8,12-02-23,4.050516027,4.582519758,3.804784667,0.506733931,2.375260989,25.33669655,3.54099079,0.007081982,Low
TN_8_2023-02-13,TN,8,13-02-23,4.1065956,4.652570496,3.802510363,0.468896246,2.337174371,23.4448123,3.568293419,0.007136587,Low
TN_8_2023-02-14,TN,8,14-02-23,3.779681381,4.534501804,3.614155908,0.411005288,2.33805613,20.5502644,3.390446269,0.006780893,Low
TN_8_2023-02-15,TN,8,15-02-23,3.912960066,4.609691201,3.130863948,0.48566806,2.392754239,24.283403,3.399068357,0.006798137,Low
TN_8_2023-02-16,TN,8,16-02-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_8_2023-02-17,TN,8,17-02-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_8_2023-02-18,TN,8,18-02-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_8_2023-02-19,TN,8,19-02-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_8_2023-02-20,TN,8,20-02-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_8_2023-02-21,TN,8,21-02-23,2.798687475,3.898859827,3.109289871,0.576397265,2.357218955,28.81986325,2.831871623,0.005663743,Low
TN_8_2023-02-22,TN,8,22-02-23,3.598168059,4.349067527,3.429549796,0.708514605,2.34598709,35.42573025,3.283807696,0.006567615,Low
TN_8_2023-02-23,TN,8,23-02-23,3.590726696,4.304346585,3.235962348,0.69770276,2.357694534,34.885138,3.241659798,0.00648332,Low
TN_8_2023-02-24,TN,8,24-02-23,3.155669749,4.303361017,3.422621334,0.658437112,2.35878819,32.9218556,3.113379806,0.00622676,Low
TN_8_2023-02-25,TN,8,25-02-23,3.225106375,4.131493151,3.554782425,0.698670096,2.370049018,34.9335048,3.120252245,0.006240504,Low
TN_8_2023-02-26,TN,8,26-02-23,3.78719314,4.605758248,3.668126375,0.75506278,2.347877082,37.753139,3.454863958,0.006909728,Low
TN_8_2023-02-27,TN,8,27-02-23,3.2847806,4.11979908,3.153648178,0.640784235,2.341254773,32.03921175,3.067936846,0.006135874,Low
TN_8_2023-02-28,TN,8,28-02-23,3.409496184,4.249468794,3.151164599,0.664891884,2.385647712,33.2445942,3.152701898,0.006305404,Low
TN_8_2023-03-01,TN,8,01-03-23,3.456031852,4.514515818,3.183953638,0.654132002,2.379066981,32.7066001,3.238106396,0.006476213,Low
TN_8_2023-03-02,TN,8,02-03-23,3.621837803,4.386054968,3.49312432,0.659155826,2.361774044,32.9577913,3.30830731,0.006616615,Low
TN_8_2023-03-03,TN,8,03-03-23,3.842136878,4.584010388,3.429564356,0.68567139,2.331776379,34.2835695,3.423518754,0.006847038,Low
TN_8_2023-03-04,TN,8,04-03-23,3.472225218,4.212744691,3.009165942,0.631382586,2.341485242,31.5691293,3.134200935,0.006268402,Low
TN_8_2023-03-05,TN,8,05-03-23,3.60866312,4.27202574,3.111878167,0.683447513,2.352898567,34.17237565,3.219099788,0.0064382,Low
TN_8_2023-03-06,TN,8,06-03-23,3.640157222,4.399486949,3.351301534,0.674219171,2.348320216,33.71095855,3.296291945,0.006592584,Low
TN_8_2023-03-07,TN,8,07-03-23,3.290773564,4.048221293,3.075530196,0.624560071,2.314536121,31.22800355,3.034792025,0.006069584,Low
TN_8_2023-03-08,TN,8,08-03-23,3.207983384,4.016383021,3.176910237,0.610746371,2.339924363,30.53731855,3.015489767,0.00603098,Low
TN_8_2023-03-09,TN,8,09-03-23,3.385096229,4.192019368,3.125205966,0.493721851,2.333976088,24.68609255,3.101038015,0.006202076,Low
TN_8_2023-03-10,TN,8,10-03-23,3.813429664,4.485823428,3.295116442,0.25960783,2.351652996,12.9803915,3.329132438,0.006658265,Low
TN_8_2023-03-11,TN,8,11-03-23,3.48316132,4.096841442,2.970222139,0.172799239,2.355426563,8.63996195,3.059444052,0.006118888,Low
TN_8_2023-03-12,TN,8,12-03-23,3.754150129,4.244170427,2.844121767,0.256390259,2.338186819,12.81951295,3.177980466,0.006355961,Low
TN_8_2023-03-13,TN,8,13-03-23,3.696919959,4.264878163,3.018053749,0.294611136,2.396853888,14.7305568,3.201838786,0.006403678,Low
TN_8_2023-03-14,TN,8,14-03-23,3.879413722,4.346372471,3.121171114,0.415323759,2.359687178,20.76618795,3.30804904,0.006616098,Low
TN_8_2023-03-15,TN,8,15-03-23,3.857874762,4.411914064,3.204931835,0.553146495,2.375467612,27.65732475,3.345609249,0.006691218,Low
TN_8_2023-03-16,TN,8,16-03-23,2.552045952,3.42577707,2.69274854,0.404538753,2.362176502,20.22693765,2.548352982,0.005096706,Low
TN_8_2023-03-17,TN,8,17-03-23,2.553668013,3.424534062,2.934484628,0.438053298,2.357740538,21.9026649,2.587556425,0.005175113,Low
TN_8_2023-03-18,TN,8,18-03-23,2.454053608,3.434659022,2.94735869,0.426401805,2.341648876,21.32009025,2.553574834,0.00510715,Low
