ID_Date,StateCode,StationId,Date,PM2.5,PM10,NO2,CO,O3,AQI,HIS,HRI_Normalized,HRI_Category
TN_10_2023-01-01,TN,10,01-01-23,3.406552067,4.18674105,3.420930789,0.500649018,3.316692488,25.0324509,3.299686879,0.006599374,Low
TN_10_2023-01-02,TN,10,02-01-23,3.094573145,3.868127717,3.301084135,0.450102039,3.294127587,22.50510195,3.084424492,0.006168849,Low
TN_10_2023-01-03,TN,10,03-01-23,3.342061524,3.83209256,3.248956511,0.330736356,3.208222174,16.5368178,3.129395112,0.00625879,Low
TN_10_2023-01-04,TN,10,04-01-23,3.531026094,4.08740806,3.322378902,0.416227096,3.316692488,20.8113548,3.295194566,0.006590389,Low
TN_10_2023-01-05,TN,10,05-01-23,3.363992968,4.143088429,3.229186377,0.399125611,3.316692488,19.95628055,3.234964037,0.006469928,Low
TN_10_2023-01-06,TN,10,06-01-23,3.628408014,4.249384598,3.063778632,0.283768173,3.316692488,14.18840865,3.31773644,0.006635473,Low
TN_10_2023-01-07,TN,10,07-01-23,3.306725161,4.08542469,2.986866701,0.265564267,3.316692488,13.27821335,3.150800284,0.006301601,Low
TN_10_2023-01-08,TN,10,08-01-23,3.554974976,4.341589766,3.146197599,0.455212235,3.316692488,22.76061175,3.34459342,0.006689187,Low
TN_10_2023-01-09,TN,10,09-01-23,3.900173365,4.524675474,3.343769323,0.477764236,3.316692488,23.8882118,3.543075242,0.00708615,Low
TN_10_2023-01-10,TN,10,10-01-23,3.56936326,4.351407733,3.61963228,0.554343112,3.316692488,27.7171556,3.433012101,0.006866024,Low
TN_10_2023-01-11,TN,10,11-01-23,3.771543722,4.557523742,3.68177616,0.710529943,3.316692488,35.52649715,3.58024453,0.007160489,Low
TN_10_2023-01-12,TN,10,12-01-23,3.802048688,4.587853253,3.510782295,0.637227495,3.316692488,31.86137475,3.565524321,0.007131049,Low
TN_10_2023-01-13,TN,10,13-01-23,3.964513326,4.752759806,3.769399612,0.870930097,3.316692488,43.54650485,3.72577644,0.007451553,Low
TN_10_2023-01-14,TN,10,14-01-23,3.778155842,4.562716001,3.538032339,0.817850659,3.316692488,40.89253295,3.573027335,0.007146055,Low
TN_10_2023-01-15,TN,10,15-01-23,3.53062023,4.309537144,3.282237873,0.558682813,3.316692488,27.93414065,3.358809202,0.006717618,Low
TN_10_2023-01-16,TN,10,16-01-23,2.718839014,3.48126573,2.75643905,0.236087197,3.316692488,11.80435985,2.756488538,0.005512977,Low
TN_10_2023-01-17,TN,10,17-01-23,2.979983917,3.750286379,2.988767101,0.252513554,3.316692488,12.6256777,2.951636259,0.005903273,Low
TN_10_2023-01-18,TN,10,18-01-23,3.172900174,3.668477082,3.011885822,0.227522837,3.316692488,11.37614185,2.999673362,0.005999347,Low
TN_10_2023-01-19,TN,10,19-01-23,3.251246205,4.024288998,3.13242944,0.286222675,3.316692488,14.31113375,3.139998978,0.006279998,Low
TN_10_2023-01-20,TN,10,20-01-23,3.443534894,4.224060743,3.242974765,0.42719489,3.316692488,21.3597445,3.287921976,0.006575844,Low
TN_10_2023-01-21,TN,10,21-01-23,3.760771245,4.545979562,3.3504327,0.627144625,3.316692488,31.35723125,3.515548067,0.007031096,Low
TN_10_2023-01-22,TN,10,22-01-23,3.552744477,4.334476327,3.021349255,0.352537926,3.316692488,17.6268963,3.313039703,0.006626079,Low
TN_10_2023-01-23,TN,10,23-01-23,3.28057438,4.057709393,2.842320036,0.255583851,3.316692488,12.77919255,3.112038645,0.006224077,Low
TN_10_2023-01-24,TN,10,24-01-23,2.95297427,3.723241881,3.052033839,0.270408744,3.316692488,13.5204372,2.946701288,0.005893403,Low
TN_10_2023-01-25,TN,10,25-01-23,4.027117987,4.565306066,3.36723237,0.450832313,3.316692488,22.54161565,3.598489772,0.00719698,Low
TN_10_2023-01-26,TN,10,26-01-23,3.74587003,4.530333262,3.403261223,0.513883444,3.316692488,25.6941722,3.503019227,0.007006038,Low
TN_10_2023-01-27,TN,10,27-01-23,4.042648822,4.727176177,3.481451605,0.552727035,3.316692488,27.63635175,3.671715449,0.007343431,Low
TN_10_2023-01-28,TN,10,28-01-23,3.721131834,4.332181305,3.334808826,0.421265547,3.316692488,21.06327735,3.42529322,0.006850586,Low
TN_10_2023-01-29,TN,10,29-01-23,3.860902942,4.646592001,3.457175057,0.561360297,3.316692488,28.06801485,3.585180191,0.00717036,Low
TN_10_2023-01-30,TN,10,30-01-23,3.722275852,4.507909057,3.329030483,0.524406893,3.302258767,26.22034465,3.476907889,0.006953816,Low
TN_10_2023-01-31,TN,10,31-01-23,3.494441034,4.276709521,3.164096931,0.333367222,3.272141409,16.6683611,3.291004215,0.006582008,Low
TN_10_2023-02-01,TN,10,01-02-23,3.655848572,4.44102739,3.261830211,0.469656346,3.316692488,23.4828173,3.423547887,0.006847096,Low
TN_10_2023-02-02,TN,10,02-02-23,3.453529546,4.234452157,3.138689588,0.340975968,3.316692488,17.0487984,3.269753289,0.006539507,Low
TN_10_2023-02-03,TN,10,03-02-23,3.756229603,4.357335036,3.161036431,0.37117163,3.316692488,18.5585815,3.412790621,0.006825581,Low
TN_10_2023-02-04,TN,10,04-02-23,3.876051168,4.353477115,3.468724055,0.477591952,3.089164112,23.8795976,3.476429608,0.006952859,Low
TN_10_2023-02-05,TN,10,05-02-23,3.682663561,4.467646908,3.315996864,0.337699162,3.316692488,16.8849581,3.434517292,0.006869035,Low
TN_10_2023-02-06,TN,10,06-02-23,3.629445168,4.412554717,3.749964754,0.587477975,3.204906484,29.37389875,3.475422971,0.006950846,Low
TN_10_2023-02-07,TN,10,07-02-23,3.937068943,4.725902449,3.586545219,0.554906303,3.316692488,27.74531515,3.650426029,0.007300852,Low
TN_10_2023-02-08,TN,10,08-02-23,4.021475139,4.836341429,3.61178123,0.465373361,3.316692488,23.26866805,3.70241005,0.00740482,Low
TN_10_2023-02-09,TN,10,09-02-23,3.552348528,4.33421002,3.44373679,0.385640259,3.316692488,19.28201295,3.379502907,0.006759006,Low
TN_10_2023-02-10,TN,10,10-02-23,3.689163144,4.474573259,3.485453053,0.485151008,3.316692488,24.2575504,3.478687347,0.006957375,Low
TN_10_2023-02-11,TN,10,11-02-23,3.71741292,4.502127969,3.461605568,0.380337216,3.316692488,19.0168608,3.481404944,0.00696281,Low
TN_10_2023-02-12,TN,10,12-02-23,3.907563075,4.56698511,3.533531443,0.45321858,3.316692488,22.660929,3.582248801,0.007164498,Low
TN_10_2023-02-13,TN,10,13-02-23,3.791014553,4.577641792,3.616411539,0.462314832,3.316692488,23.1157416,3.557462629,0.007114925,Low
TN_10_2023-02-14,TN,10,14-02-23,4.045683279,4.668267043,3.760082728,0.654709494,3.135611962,32.7354747,3.682881061,0.007365762,Low
TN_10_2023-02-15,TN,10,15-02-23,4.110053856,4.670883443,3.804784667,0.543534798,3.316692488,27.1767399,3.728814763,0.00745763,Low
TN_10_2023-02-16,TN,10,16-02-23,3.639346623,4.423467133,3.544088219,0.358662098,3.316692488,17.9331049,3.444621417,0.006889243,Low
TN_10_2023-02-17,TN,10,17-02-23,3.744530089,4.529949109,3.546815907,0.411173423,3.316692488,20.55867115,3.51371641,0.007027433,Low
TN_10_2023-02-18,TN,10,18-02-23,3.676999268,4.461549977,3.538156487,0.604486717,3.316692488,30.22433585,3.491013256,0.006982027,Low
TN_10_2023-02-19,TN,10,19-02-23,3.315204425,4.091300002,3.097776358,0.285805312,3.316692488,14.2902656,3.173897407,0.006347795,Low
