ID_Date,StateCode,StationId,Date,PM2.5,PM10,NO2,CO,O3,AQI,HIS,HRI_Normalized,HRI_Category
TN_11_2023-01-01,TN,11,01-01-23,3.494785752,4.296159489,2.8061448,0.591925465,2.882759913,29.59627325,3.209743139,0.006419486,Low
TN_11_2023-01-02,TN,11,02-01-23,3.353228234,4.164656317,2.718424443,0.544542436,2.718683284,27.2271218,3.084814364,0.006169629,Low
TN_11_2023-01-03,TN,11,03-01-23,3.492398753,4.241819737,2.803652847,0.561795949,3.027461386,28.08979745,3.213641228,0.006427282,Low
TN_11_2023-01-04,TN,11,04-01-23,3.569890614,4.224905184,2.873537175,0.523433312,3.165606896,26.1716656,3.263902953,0.006527806,Low
TN_11_2023-01-05,TN,11,05-01-23,3.4098928,3.883381732,2.348941743,0.520074389,3.316692488,26.00371945,3.066160487,0.006132321,Low
TN_11_2023-01-06,TN,11,06-01-23,3.598869267,4.100852851,2.597635783,0.531057081,3.316692488,26.55285405,3.225072405,0.006450145,Low
TN_11_2023-01-07,TN,11,07-01-23,3.636066365,4.497845551,3.157942649,0.535253974,3.316692488,26.7626987,3.421805283,0.006843611,Low
TN_11_2023-01-08,TN,11,08-01-23,3.995771147,4.756764028,3.010785076,0.569664338,3.316692488,28.4832169,3.593798977,0.007187598,Low
TN_11_2023-01-09,TN,11,09-01-23,3.599893798,4.447195901,3.085814163,0.557907981,3.316692488,27.89539905,3.3879286,0.006775857,Low
TN_11_2023-01-10,TN,11,10-01-23,3.706728818,4.388199849,3.406039805,0.522898288,3.316692488,26.1449144,3.455104721,0.006910209,Low
TN_11_2023-01-11,TN,11,11-01-23,3.647805149,4.033338683,3.38352242,0.569625052,3.316692488,28.4812526,3.347061214,0.006694122,Low
TN_11_2023-01-12,TN,11,12-01-23,3.495253619,4.159171128,3.296384556,0.541859874,3.316692488,27.0929937,3.309279093,0.006618558,Low
TN_11_2023-01-13,TN,11,13-01-23,3.359134021,4.482076983,3.126332508,0.546212877,3.12885538,27.31064385,3.289115624,0.006578231,Low
TN_11_2023-01-14,TN,11,14-01-23,3.779402309,4.835032229,3.225415506,0.5611424,3.113251385,28.05712,3.538463139,0.007076926,Low
TN_11_2023-01-15,TN,11,15-01-23,3.266939535,4.099546863,2.849917414,0.50903235,3.139622158,25.4516175,3.117649724,0.006235299,Low
TN_11_2023-01-16,TN,11,16-01-23,3.190480637,4.132685147,2.832837456,0.496113767,3.083830588,24.80568835,3.086951093,0.006173902,Low
TN_11_2023-01-17,TN,11,17-01-23,3.268871611,4.855692533,2.816478921,0.491770217,3.162963693,24.58851085,3.304121611,0.006608243,Low
TN_11_2023-01-18,TN,11,18-01-23,3.444739008,4.855692533,2.955016972,0.515647314,3.316692488,25.7823657,3.411902936,0.006823806,Low
TN_11_2023-01-19,TN,11,19-01-23,3.447457894,4.572617939,3.07753305,0.538785252,3.281073066,26.9392626,3.35743419,0.006714868,Low
TN_11_2023-01-20,TN,11,20-01-23,3.71855383,4.855692533,3.239035142,0.568406402,3.220538331,28.4203201,3.541193635,0.007082387,Low
TN_11_2023-01-21,TN,11,21-01-23,3.59655284,4.855692533,2.557184244,0.525632131,3.316692488,26.28160655,3.40636135,0.006812723,Low
TN_11_2023-01-22,TN,11,22-01-23,3.600779416,4.632653616,2.598356752,0.521002827,3.316692488,26.05014135,3.357793868,0.006715588,Low
