ID_Date,StateCode,StationId,Date,PM2.5,PM10,NO2,CO,O3,AQI,HIS,HRI_Normalized,HRI_Category
TN_12_2023-01-01,TN,12,01-01-23,3.846376178,4.465425391,3.232991119,0.421689393,0.878455725,21.08446965,3.121473976,0.006242948,Low
TN_12_2023-01-02,TN,12,02-01-23,3.960688162,4.605514918,3.126745307,0.338256358,0.891571035,16.9128179,3.174192673,0.006348385,Low
TN_12_2023-01-03,TN,12,03-01-23,3.795001193,4.441481455,3.079199879,0.363098712,0.922587532,18.1549356,3.075198764,0.006150398,Low
TN_12_2023-01-04,TN,12,04-01-23,4.009687554,4.597192016,2.902078757,0.705746052,0.944461609,35.2873026,3.200244308,0.006400489,Low
TN_12_2023-01-05,TN,12,05-01-23,3.908626769,4.457244786,2.962633691,0.696059602,0.946026041,34.8029801,3.138235486,0.006276471,Low
TN_12_2023-01-06,TN,12,06-01-23,4.094332409,4.636949417,3.061100529,0.695644061,0.908594525,34.78220305,3.257272362,0.006514545,Low
TN_12_2023-01-07,TN,12,07-01-23,4.114994461,4.587195013,2.968343948,0.657171979,0.926241063,32.85859895,3.236951764,0.006473904,Low
TN_12_2023-01-08,TN,12,08-01-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_12_2023-01-09,TN,12,09-01-23,3.952021388,4.608014622,2.979895409,0.713085964,0.965167472,35.6542982,3.19827917,0.006396558,Low
TN_12_2023-01-10,TN,12,10-01-23,3.926402457,4.52905443,3.439677589,0.70433437,0.926523908,35.2167185,3.231868129,0.006463736,Low
TN_12_2023-01-11,TN,12,11-01-23,4.122147171,4.580621313,3.426465709,0.270874954,0.891015658,13.5437477,3.262616539,0.006525233,Low
TN_12_2023-01-12,TN,12,12-01-23,4.015051429,4.581978322,3.299765609,0.309932681,0.865041296,15.49663405,3.206476885,0.006412954,Low
TN_12_2023-01-13,TN,12,13-01-23,4.09810453,4.661165929,3.315792038,0.324496045,0.873093233,16.22480225,3.260410463,0.006520821,Low
TN_12_2023-01-14,TN,12,14-01-23,4.13558378,4.67731586,3.29904673,0.375578474,0.914637851,18.7789237,3.286393823,0.006572788,Low
TN_12_2023-01-15,TN,12,15-01-23,3.877979883,4.300877229,3.113010308,0.708364146,0.906754175,35.4182073,3.106313353,0.006212627,Low
TN_12_2023-01-16,TN,12,16-01-23,3.360128564,4.144856134,3.009145623,0.573096772,2.645342972,28.6548386,3.117741997,0.006235484,Low
TN_12_2023-01-17,TN,12,17-01-23,3.30315334,3.968879451,2.933959156,0.183986836,0.939330948,9.1993418,2.747715731,0.005495431,Low
TN_12_2023-01-18,TN,12,18-01-23,3.873139236,4.402387237,2.877669902,0.676763701,0.966415983,33.83818505,3.100484795,0.00620097,Low
TN_12_2023-01-19,TN,12,19-01-23,4.13558378,4.588447386,2.875006632,0.515066618,0.898415246,25.7533309,3.212086113,0.006424172,Low
TN_12_2023-01-20,TN,12,20-01-23,4.132754419,4.619360058,3.25023783,0.51849613,0.961337635,25.9248065,3.284889994,0.00656978,Low
TN_12_2023-01-21,TN,12,21-01-23,4.046450091,4.48847601,3.166085797,0.512836101,0.936147824,25.64180505,3.204995188,0.00640999,Low
TN_12_2023-01-22,TN,12,22-01-23,3.896477802,4.297619817,3.166399375,0.714256144,0.975062658,35.7128072,3.130817104,0.006261634,Low
TN_12_2023-01-23,TN,12,23-01-23,3.742204389,4.404291069,3.250635163,0.280174797,0.963651303,14.00873985,3.071004753,0.00614201,Low
TN_12_2023-01-24,TN,12,24-01-23,3.753194092,4.311889135,3.376842429,0.443830755,0.953072576,22.19153775,3.085460542,0.006170921,Low
